blk	cat	idx	entry_off	flag	text_off	seg_size	참조여부	cond1_ptr	cond1_raw	탑승자	cond2_ptr	cond2_raw	cond2_items	그룹키	분류	JP본문	KR본문
363	0	45	0x0190	0x8000	0x11D7	36	참조됨	0x0C02	02 00 24 01 29 01	테니아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	・行くよ、[7d]！‖7c‖！ああ、そっちは任せた！\nここで決めてやる！\n[7f]！‖78‖	・간다，\n[7d]！‖7c‖！그래，　그쪽은\n맡긴다！　여기서　끝내주마！\n[7f]！‖78‖
363	0	46	0x0198	0x8000	0x11FB	40	참조됨	0x0C08	02 00 24 01 2a 01	멜루아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	・行きますよ、[7d]さん！‖7c‖！ああ、そっちは任せた！\nここで決めてやる！\n[7f]！‖78‖	・갑니다，\n[7d]　씨！‖7c‖！그래，　그쪽은\n맡긴다！　여기서　끝내주마！\n[7f]！‖78‖
363	0	47	0x01A0	0x8000	0x1223	23	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	！足を止めるぞ、カティア！‖7c‖・了解！‖78‖	！발을　묶는다，\n카티아！‖7c‖・알겠습니다！‖78‖
363	0	48	0x01A8	0x8000	0x123A	23	참조됨	0x0C02	02 00 24 01 29 01	테니아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	！足を止めるぞ、テニア！‖7c‖・ＯＫ！‖78‖	！발을　묶는다，\n테니아！‖7c‖・ＯＫ！‖78‖
363	0	49	0x01B0	0x8000	0x1251	26	참조됨	0x0C08	02 00 24 01 2a 01	멜루아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	！足を止めるぞ、メルア！‖7c‖・了解しました！‖78‖	！발을　묶는다，\n멜루아！‖7c‖・알겠습니다！‖78‖
363	0	50	0x01B8	0x8000	0x126B	19	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	！回り込め、カティア！‖7c‖・はい！‖78‖	！돌아\n들어가라，　카티아！‖7c‖・네！‖78‖
363	0	51	0x01C0	0x8000	0x127E	21	참조됨	0x0C02	02 00 24 01 29 01	테니아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	！回り込め、テニア！‖7c‖・ＯＫ！‖78‖	！돌아\n들어가라，　테니아！‖7c‖・ＯＫ！‖78‖
363	0	52	0x01C8	0x8000	0x1293	26	참조됨	0x0C08	02 00 24 01 2a 01	멜루아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	！回り込め、メルア！‖7c‖・はい！　わかりました！‖78‖	！돌아\n들어가라，　멜루아！‖7c‖・네！\n알겠습니다！‖78‖
363	0	53	0x01D0	0x8000	0x12AD	30	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	・ターゲット捕捉！\n[7d]、今よ！‖7c‖！わかってる！\n[7f]！‖78‖	・타겟　포착！\n[7d]，　지금이야！‖7c‖！알고　있어！\n[7f]！‖78‖
363	0	54	0x01D8	0x8000	0x12CB	30	참조됨	0x0C02	02 00 24 01 29 01	테니아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	・ターゲット捕捉！\n[7d]、今だ！‖7c‖！わかってる！\n[7f]！‖78‖	・타겟　포착！\n[7d]，　지금이다！‖7c‖！알고　있어！\n[7f]！‖78‖
363	0	55	0x01E0	0x8000	0x12E9	33	참조됨	0x0C08	02 00 24 01 2a 01	멜루아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	・ターゲット捕捉！\n[7d]さん、今です！‖7c‖！わかってる！\n[7f]！‖78‖	・타겟　포착！\n[7d]　씨，\n지금이에요！‖7c‖！알고　있어！\n[7f]！‖78‖
363	0	56	0x01E8	0x8000	0x130A	39	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	・このまま行っていいのよね！？‖7c‖！頼むカティア！\n直撃させるっ！\n[7f]！‖78‖	・이대로　가도\n되는　거지！？‖7c‖！부탁한다\n카티아！　직격시킨다！\n[7f]！‖78‖
363	0	57	0x01F0	0x8000	0x1331	38	참조됨	0x0C02	02 00 24 01 29 01	테니아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	・このまま行っていいよね！？‖7c‖！頼むテニア！\n直撃させるっ！\n[7f]！‖78‖	・이대로　가도\n되지！？‖7c‖！부탁한다\n테니아！　직격시킨다！\n[7f]！‖78‖
363	0	58	0x01F8	0x8000	0x1357	39	참조됨	0x0C08	02 00 24 01 2a 01	멜루아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	・このまま行っていいんですね！？‖7c‖！頼むメルア！\n直撃させるっ！\n[7f]！‖78‖	・이대로　가도\n되는　거죠！？‖7c‖！부탁한다\n멜루아！　직격시킨다！\n[7f]！‖78‖
363	0	59	0x0200	0x8000	0x137E	33	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	！カティア、\n目標の進路を予測しろ！‖7c‖・わかったわ！‖78‖	！카티아，\n목표의　진로를　예측해라！‖7c‖・알았어！‖78‖
363	0	60	0x0208	0x8000	0x139F	32	참조됨	0x0C02	02 00 24 01 29 01	테니아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	！テニア、\n目標の進路を予測しろ！‖7c‖・まかせて！‖78‖	！테니아，\n목표의　진로를　예측해라！‖7c‖・맡겨！‖78‖
363	0	61	0x0210	0x8000	0x13BF	33	참조됨	0x0C08	02 00 24 01 2a 01	멜루아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	！メルア、\n目標の進路を予測しろ！‖7c‖・わかりました！‖78‖	！멜루아，\n목표의　진로를　예측해라！‖7c‖・알겠습니다！‖78‖
363	0	62	0x0218	0x8000	0x13E0	39	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	！攻撃と同時に\n反撃に備える、頼むぞ！‖7c‖・ええ、任せて！\n[7f]！‖78‖	！공격과　동시에\n반격에　대비한다，\n부탁한다！‖7c‖・응，　맡겨！\n[7f]！‖78‖
363	0	63	0x0220	0x8000	0x1407	40	참조됨	0x0C02	02 00 24 01 29 01	테니아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	！攻撃と同時に\n反撃に備える、頼むぞ！‖7c‖・うん、任せてよ！\n[7f]！‖78‖	！공격과　동시에\n반격에　대비한다，\n부탁한다！‖7c‖・응，　맡겨！\n[7f]！‖78‖
363	0	64	0x0228	0x8000	0x142F	43	참조됨	0x0C08	02 00 24 01 2a 01	멜루아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	！攻撃と同時に\n反撃に備える、頼むぞ！‖7c‖・はい、任せてください！\n[7f]！‖78‖	！공격과　동시에\n반격에　대비한다，\n부탁한다！‖7c‖・네，\n맡겨주세요！　[7f]！‖78‖
363	0	65	0x0230	0x8000	0x145A	23	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	！カティア、奴を逃がすな！‖7c‖・了解！‖78‖	！카티아，\n저놈을　놓치지　마라！‖7c‖・알겠습니다！‖78‖
363	0	66	0x0238	0x8000	0x1471	23	참조됨	0x0C02	02 00 24 01 29 01	테니아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	！テニア、奴を逃がすな！‖7c‖・ＯＫ！‖78‖	！테니아，\n저놈을　놓치지　마라！‖7c‖・ＯＫ！‖78‖
363	0	67	0x0240	0x8000	0x1488	26	참조됨	0x0C08	02 00 24 01 2a 01	멜루아	0xFFFF	(none)	[]	cat0/f0x8000/c2-0xFFFF	A	！メルア、奴を逃がすな！‖7c‖・了解しました！‖78‖	！멜루아，\n저놈을　놓치지　마라！‖7c‖・알겠습니다！‖78‖
363	0	68	0x0248	0x0401	0x14A2	38	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0xFFFF	(none)	[]	cat0/f0x0401/c2-0xFFFF	A	！[7f]！\n当たってくれ！‖7c‖・目標確認、\n火線を集中するわ！‖78‖	！[7f]！\n명중해라！‖7c‖・목표　확인，\n화선을　집중한다！‖78‖
363	0	69	0x0250	0x0401	0x14C8	38	참조됨	0x0C02	02 00 24 01 29 01	테니아	0xFFFF	(none)	[]	cat0/f0x0401/c2-0xFFFF	A	！[7f]！\n当たってくれ！‖7c‖・目標確認、\n火線を集中するよ！‖78‖	！[7f]！\n명중해라！‖7c‖・목표　확인，\n화선을　집중한다！‖78‖
363	0	70	0x0258	0x0401	0x14EE	38	참조됨	0x0C08	02 00 24 01 2a 01	멜루아	0xFFFF	(none)	[]	cat0/f0x0401/c2-0xFFFF	A	！[7f]！\n当たってくれ！‖7c‖・目標確認、\n火線を集中します！‖78‖	！[7f]！\n명중해라！‖7c‖・목표　확인，\n화선을　집중합니다！‖78‖
363	0	71	0x0260	0x0401	0x1514	33	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0xFFFF	(none)	[]	cat0/f0x0401/c2-0xFFFF	A	・目標・・・\n射程圏内で捕捉！‖7c‖！いけええっ！\n[7f]！‖78‖	・목표・・・　사정권\n안에서　포착！‖7c‖！가라아아！\n[7f]！‖78‖
363	0	72	0x0268	0x0401	0x1535	36	참조됨	0x0C02	02 00 24 01 29 01	테니아	0xFFFF	(none)	[]	cat0/f0x0401/c2-0xFFFF	A	・目標・・・\n射程圏内で捕捉したよ！‖7c‖！いけええっ！\n[7f]！‖78‖	・목표・・・　사정권\n안에서　포착했어！‖7c‖！가라아아！\n[7f]！‖78‖
363	0	73	0x0270	0x0401	0x1559	37	참조됨	0x0C08	02 00 24 01 2a 01	멜루아	0xFFFF	(none)	[]	cat0/f0x0401/c2-0xFFFF	A	・目標・・・\n射程圏内で捕捉しました！‖7c‖！いけええっ！\n[7f]！‖78‖	・목표・・・　사정권\n안에서　포착했어요！‖7c‖！가라아아！\n[7f]！‖78‖
363	0	74	0x0278	0x0009	0x157E	33	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0x0C0E	01 00 b3 05	['0x05B3']	cat0/f0x0009/c2-0x0C0E	A	！もうこれ以上・・・\n好きにはさせない！‖7a‖・行くわよ、[7d]！‖78‖	！이제　더\n이상・・・　멋대로　두지\n않겠다！‖7a‖・간다，\n[7d]！‖78‖
363	0	75	0x0280	0x0009	0x159F	32	참조됨	0x0C02	02 00 24 01 29 01	테니아	0x0C0E	01 00 b3 05	['0x05B3']	cat0/f0x0009/c2-0x0C0E	A	！もうこれ以上・・・\n好きにはさせない！‖7a‖・行くよ、[7d]！‖78‖	！이제　더\n이상・・・　멋대로　두지\n않겠다！‖7a‖・간다，\n[7d]！‖78‖
363	0	76	0x0288	0x0009	0x15BF	36	참조됨	0x0C08	02 00 24 01 2a 01	멜루아	0x0C0E	01 00 b3 05	['0x05B3']	cat0/f0x0009/c2-0x0C0E	A	！もうこれ以上・・・\n好きにはさせない！‖7a‖・行きますよ、[7d]さん！‖78‖	！이제　더\n이상・・・　멋대로　두지\n않겠다！‖7a‖・갑니다，\n[7d]　씨！‖78‖
363	0	77	0x0290	0x0009	0x15E3	36	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0x0C0E	01 00 b3 05	['0x05B3']	cat0/f0x0009/c2-0x0C0E	A	！カティア、奴を逃がすな！‖7c‖・了解！‖7a‖！いっけぇぇぇぇぇぇっ！‖78‖	！카티아，\n저놈을　놓치지　마라！‖7c‖・알겠습니다！‖7a‖！가라아아아아앗\n！‖78‖
363	0	78	0x0298	0x0009	0x1607	36	참조됨	0x0C02	02 00 24 01 29 01	테니아	0x0C0E	01 00 b3 05	['0x05B3']	cat0/f0x0009/c2-0x0C0E	A	！テニア、奴を逃がすな！‖7c‖・ＯＫ！‖7a‖！いっけぇぇぇぇぇぇっ！‖78‖	！테니아，\n저놈을　놓치지　마라！‖7c‖・ＯＫ！‖7a‖！가라아아아아앗\n！‖78‖
363	0	79	0x02A0	0x0009	0x162B	39	참조됨	0x0C08	02 00 24 01 2a 01	멜루아	0x0C0E	01 00 b3 05	['0x05B3']	cat0/f0x0009/c2-0x0C0E	A	！メルア、奴を逃がすな！‖7c‖・了解しました！‖7a‖！いっけぇぇぇぇぇぇっ！‖78‖	！멜루아，\n저놈을　놓치지　마라！‖7c‖・알겠습니다！‖7a‖！가라아아아아앗\n！‖78‖
363	0	80	0x02A8	0x0009	0x1652	49	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0x0C0E	01 00 b3 05	['0x05B3']	cat0/f0x0009/c2-0x0C0E	A	・行くわよ、[7d]！‖7c‖！ああ、そっちは任せた！\nここで決めてやる！‖7a‖！遅い！　そんな動きで！‖78‖	・간다，\n[7d]！‖7c‖！그래，　그쪽은\n맡긴다！　여기서\n끝내주마！‖7a‖！느리다！\n그딴　움직임으로！‖78‖
363	0	81	0x02B0	0x0009	0x1683	48	참조됨	0x0C02	02 00 24 01 29 01	테니아	0x0C0E	01 00 b3 05	['0x05B3']	cat0/f0x0009/c2-0x0C0E	A	・行くよ、[7d]！‖7c‖！ああ、そっちは任せた！\nここで決めてやる！‖7a‖！遅い！　そんな動きで！‖78‖	・간다，\n[7d]！‖7c‖！그래，　그쪽은\n맡긴다！　여기서\n끝내주마！‖7a‖！느리다！\n그딴　움직임으로！‖78‖
363	0	82	0x02B8	0x0009	0x16B3	51	참조됨	0x0C08	02 00 24 01 2a 01	멜루아	0x0C0E	01 00 b3 05	['0x05B3']	cat0/f0x0009/c2-0x0C0E	A	・行きますよ、[7d]さん！‖7c‖！ああ、そっちは任せた！\nここで決めてやる‖7a‖！遅い！　そんな動きで！‖78‖	・갑니다，\n[7d]　씨！‖7c‖！그래，　그쪽은\n맡긴다！　여기서　끝내주마‖7a‖！느리다！\n그딴　움직임으로！‖78‖
363	0	83	0x02C0	0x400C	0x16E6	103	참조됨	0x0C02	02 00 24 01 29 01	테니아	0x0C12	01 00 b4 05	['0x05B4']	cat0/f0x400C/c2-0x0C12	B	！テニア！‖7a‖・うん！　アタシに任せて！\n[7d]！！‖7a‖！[7e]で・・・\n貴様をヴォーダの闇に帰してやる！\n・・・覚悟！！‖7a‖・[7d]と、\n一緒ならやってみせるよっ！！\nこいつで・・・とどめェェェーッ！！‖78‖	！테니아！‖7a‖・응！　　나한테\n맡겨！　[7d]！！‖7a‖！[7e]\n（으）로　보다의　어둠으로\n보내주마！　각오해라！！‖7a‖・[7d]와\n함께라면　해낼　수　있어！！\n이걸로・・・　끝장이다아앗！！‖78‖
363	0	84	0x02C8	0x400C	0x174D	103	참조됨	0x0C02	02 00 24 01 29 01	테니아	0x0C12	01 00 b4 05	['0x05B4']	cat0/f0x400C/c2-0x0C12	B	！テニア！‖7a‖・うん！　アタシに任せて！\n[7d]！！‖7a‖！[7e]で・・・\n貴様をヴォーダの闇に帰してやる！\n・・・覚悟！！‖7a‖・[7d]と、\n一緒ならやってみせるよっ！！\nこいつで・・・とどめェェェーッ！！‖78‖	！테니아！‖7a‖・응！　　나한테\n맡겨！　[7d]！！‖7a‖！[7e]\n（으）로　보다의　어둠으로\n보내주마！　각오해라！！‖7a‖・[7d]와\n함께라면　해낼　수　있어！！\n이걸로・・・　끝장이다아앗！！‖78‖
363	0	85	0x02D0	0x400C	0x17B4	103	참조됨	0x0C02	02 00 24 01 29 01	테니아	0x0C12	01 00 b4 05	['0x05B4']	cat0/f0x400C/c2-0x0C12	B	！テニア！‖7a‖・うん！　アタシに任せて！\n[7d]！！‖7a‖！[7e]で・・・\n貴様をヴォーダの闇に帰してやる！\n・・・覚悟！！‖7a‖・[7d]と、\n一緒ならやってみせるよっ！！\nこいつで・・・とどめェェェーッ！！‖78‖	！테니아！‖7a‖・응！　　나한테\n맡겨！　[7d]！！‖7a‖！[7e]\n（으）로　보다의　어둠으로\n보내주마！　각오해라！！‖7a‖・[7d]와\n함께라면　해낼　수　있어！！\n이걸로・・・　끝장이다아앗！！‖78‖
363	0	86	0x02D8	0x000C	0x181B	50	참조됨	0x0C02	02 00 24 01 29 01	테니아	0x0C16	01 00 b4 05	['0x05B4']	cat0/f0x000C/c2-0x0C16	B	！テニア！‖7a‖・ＯＫ！　[7d]！！‖7a‖！今なら！！‖7a‖・バイバイ！！\nこいつで、とどめェェェーッ！！‖78‖	！테니아！‖7a‖・ＯＫ！\n[7d]！！‖7a‖！지금이라면！！‖7a‖・바이바이！！\n이걸로，\n끝장이다아아앗！！‖78‖
363	0	87	0x02E0	0x000C	0x184D	52	참조됨	0x0C02	02 00 24 01 29 01	테니아	0x0C16	01 00 b4 05	['0x05B4']	cat0/f0x000C/c2-0x0C16	B	！テニア！‖7a‖・うん！　[7d]！！‖7a‖！これで、決める！！‖7a‖・ラストォ！！\nこいつで、とどめェェェーッ！！‖78‖	！테니아！‖7a‖・응！\n[7d]！！‖7a‖！이걸로，\n끝낸다！！‖7a‖・라스트！！\n이걸로，\n끝장이다아아앗！！‖78‖
363	0	88	0x02E8	0x000C	0x1881	54	참조됨	0x0C02	02 00 24 01 29 01	테니아	0x0C16	01 00 b4 05	['0x05B4']	cat0/f0x000C/c2-0x0C16	B	！テニア！‖7a‖・任せてよ！　[7d]！！‖7a‖！逃がすか！！‖7a‖・いっくよォー！！\nこいつで、とどめェェェーッ！！‖78‖	！테니아！‖7a‖・맡겨！\n[7d]！！‖7a‖！놓칠　줄\n아냐！！‖7a‖・간다아！！\n이걸로，\n끝장이다아아앗！！‖78‖
363	0	89	0x02F0	0x0009	0x18B7	42	참조됨	0x0BFC	02 00 24 01 28 01	카티아	0x0C1A	01 00 b0 05	['0x05B0']	cat0/f0x0009/c2-0x0C1A	A	！やらせないって・・・\nいっただろ！！‖7a‖・目標・・・\n射程圏内で捕捉！‖78‖	！두지\n않겠다고・・・　말했잖아！！‖7a‖・목표・・・　사정권\n안에서　포착！‖78‖
